Tweet1m,Tweet2m,Tavg1m,Tavg2m,Rainmax1m,Rainmax2m,Rainavg1m,Rainavg2m,Electro1m,Electro2m,Tweet1n,Tweet2n,Tavg1n,Tavg2n,Rainmax1n,Rainmax2n,Rainavg1n,Rainavg2n,Electro1n,Electro2n,Weekday,TargetDay,TargetNight
149,165,11.245555555555555,12.132152777777774,0.049999999999999996,0.005,0.002222222222222222,0.0001388888888888889,327834.1116880024,292081.26202700136,44,92,9.895138888888889,10.252630952380951,0.049999999999999996,0.005,0.0,0.0002777777777777778,147530.373514,146824.96844999952,Su,115,74
115,149,12.137079365079366,11.245555555555555,0.295,0.049999999999999996,0.017408730158730158,0.002222222222222222,289288.54558300157,327834.1116880024,74,44,7.764166666666666,9.895138888888889,0.295,0.049999999999999996,0.0002777777777777778,0.0,142660.46853500023,147530.373514,Mo,90,54
90,115,7.444652777777778,12.137079365079366,0.38,0.295,0.08708333333333333,0.017408730158730158,492895.718458,289288.54558300157,54,74,6.732539682539681,7.764166666666666,0.38,0.295,0.03535714285714285,0.0002777777777777778,181140.19825800066,142660.46853500023,Tu,106,56
106,90,10.23479365079365,7.444652777777778,0.05499999999999999,0.38,0.0015317460317460319,0.08708333333333333,455374.8805660027,492895.718458,56,54,6.8476388888888895,6.732539682539681,0.05499999999999999,0.38,0.0,0.03535714285714285,182369.05307800043,181140.19825800066,We,102,55
102,106,10.780688492063494,10.23479365079365,0.065,0.05499999999999999,0.002781746031746032,0.0015317460317460319,460321.19070799806,455374.8805660027,55,56,6.58125,6.8476388888888895,0.065,0.05499999999999999,0.0,0.0,183050.7833529998,182369.05307800043,Th,88,92
88,102,10.987267857142857,10.780688492063494,0.0,0.065,0.0,0.002781746031746032,453392.307536,460321.19070799806,92,55,6.9686111111111115,6.58125,0.0,0.065,0.0,0.0,182702.9931960006,183050.7833529998,Fr,150,108
150,88,10.084236111111114,10.987267857142857,0.06000000000000001,0.0,0.005,0.0,489172.8505049982,453392.307536,108,92,8.877777777777778,6.9686111111111115,0.06000000000000001,0.0,0.06138888888888888,0.0,178196.2481760002,182702.9931960006,Sa,274,91
274,150,9.34903781512605,10.084236111111114,2.339999999999999,0.06000000000000001,0.3025504201680672,0.005,369908.8449589976,489172.8505049982,91,108,6.211995798319327,8.877777777777778,2.339999999999999,0.06000000000000001,0.3009411764705882,0.06138888888888888,150375.87031199993,178196.2481760002,Su,165,132
165,274,6.068680555555556,9.34903781512605,0.2000000000000001,2.339999999999999,0.011388888888888886,0.3025504201680672,293029.8368870019,369908.8449589976,132,91,6.006944444444445,6.211995798319327,0.2000000000000001,2.339999999999999,0.005555555555555555,0.3009411764705882,149437.308492,150375.87031199993,Mo,190,92
190,165,9.11090277777778,6.068680555555556,0.09000000000000004,0.2000000000000001,0.002777777777777777,0.011388888888888886,486685.2770240006,293029.8368870019,92,132,7.035277777777777,6.006944444444445,0.09000000000000004,0.2000000000000001,0.0,0.005555555555555555,189104.34840600044,149437.308492,Tu,171,66
171,190,9.736583333333332,9.11090277777778,0.10499999999999998,0.09000000000000004,0.002916666666666667,0.002777777777777777,442452.5404679994,486685.2770240006,66,92,5.288749999999999,7.035277777777777,0.10499999999999998,0.09000000000000004,0.0,0.0,181203.08319199993,189104.34840600044,We,95,75
95,171,10.75424007936508,9.736583333333332,0.02,0.10499999999999998,0.0005555555555555556,0.002916666666666667,471289.4470200014,442452.5404679994,75,66,7.8424999999999985,5.288749999999999,0.02,0.10499999999999998,0.003055555555555556,0.0,183681.69329899916,181203.08319199993,Th,126,85
126,95,7.610694444444446,10.75424007936508,0.24500000000000002,0.02,0.06749999999999999,0.0005555555555555556,499685.48046600056,471289.4470200014,85,75,5.999305555555555,7.8424999999999985,0.24500000000000002,0.02,0.36222222222222217,0.003055555555555556,182484.9732220006,183681.69329899916,Fr,108,70
108,126,5.0188194444444445,7.610694444444446,0.6899999999999998,0.24500000000000002,0.1702777777777778,0.06749999999999999,490653.73335799976,499685.48046600056,70,85,4.960960317460318,5.999305555555555,0.6899999999999998,0.24500000000000002,0.0011111111111111111,0.36222222222222217,167724.34832999972,182484.9732220006,Sa,144,65
144,108,7.765261904761905,5.0188194444444445,0.5399999999999999,0.6899999999999998,0.015000000000000003,0.1702777777777778,313527.9818020022,490653.73335799976,65,70,5.015555555555555,4.960960317460318,0.5399999999999999,0.6899999999999998,0.0,0.0011111111111111111,150432.5884190001,167724.34832999972,Su,187,66
187,144,6.991458333333336,7.765261904761905,0.125,0.5399999999999999,0.003472222222222223,0.015000000000000003,294564.06699700153,313527.9818020022,66,65,5.606944444444446,5.015555555555555,0.125,0.5399999999999999,0.0,0.0,144442.29854399958,150432.5884190001,Mo,85,66
85,187,6.734513888888889,6.991458333333336,0.025,0.125,0.00125,0.003472222222222223,493817.16030799894,294564.06699700153,66,66,6.135416666666666,5.606944444444446,0.025,0.125,0.0011111111111111111,0.0,181139.7582950002,144442.29854399958,Tu,104,87
104,85,6.418611111111112,6.734513888888889,1.4149999999999998,0.025,0.2602777777777778,0.00125,513352.56190500036,493817.16030799894,87,66,5.307222222222223,6.135416666666666,1.4149999999999998,0.025,0.003333333333333333,0.0011111111111111111,184715.23308499955,181139.7582950002,We,120,75
120,104,7.0931413398692795,6.418611111111112,0.3750000000000001,1.4149999999999998,0.02652777777777778,0.2602777777777778,491197.3452510015,513352.56190500036,75,87,5.449999999999999,5.307222222222223,0.3750000000000001,1.4149999999999998,0.07861111111111112,0.003333333333333333,184950.0032280002,184715.23308499955,Th,171,119
171,120,2.976323412698412,7.0931413398692795,0.545,0.3750000000000001,0.07915873015873016,0.02652777777777778,545544.2802319993,491197.3452510015,119,75,1.5739563492063486,5.449999999999999,0.545,0.3750000000000001,0.5532619047619047,0.07861111111111112,201771.61825900062,184950.0032280002,Fr,245,170
245,171,2.2242416815210935,2.976323412698412,0.69,0.545,0.07068256090314914,0.07915873015873016,542896.1154570014,545544.2802319993,170,119,0.24277777777777776,1.5739563492063486,0.69,0.545,0.0,0.5532619047619047,220138.93324999965,201771.61825900062,Sa,283,103
283,245,3.4812500000000006,2.2242416815210935,0.5850000000000002,0.69,0.08166666666666669,0.07068256090314914,396757.9363419994,542896.1154570014,103,170,3.3125,0.24277777777777776,0.5850000000000002,0.69,0.07583333333333334,0.0,155433.31858400037,220138.93324999965,Su,205,121
205,283,5.530208333333333,3.4812500000000006,0.12500000000000006,0.5850000000000002,0.0038888888888888896,0.08166666666666669,327317.31688,396757.9363419994,121,103,4.911666666666667,3.3125,0.12500000000000006,0.5850000000000002,0.0005555555555555556,0.07583333333333334,171326.15847499974,155433.31858400037,Mo,170,170
170,205,2.7382003968253956,5.530208333333333,0.015000000000000003,0.12500000000000006,0.00041666666666666664,0.0038888888888888896,567499.5449200011,327317.31688,170,121,-1.4415277777777782,4.911666666666667,0.015000000000000003,0.12500000000000006,0.0,0.0005555555555555556,241344.95451899894,171326.15847499974,Tu,183,113
183,170,1.0753472222222225,2.7382003968253956,0.0,0.015000000000000003,0.0,0.00041666666666666664,598490.8149019994,567499.5449200011,113,170,-1.7247222222222223,-1.4415277777777782,0.0,0.015000000000000003,0.0002777777777777778,0.0,248943.15802899995,241344.95451899894,We,236,120
236,183,0.15902777777777793,1.0753472222222225,0.0,0.0,0.0,0.0,616976.4296949987,598490.8149019994,120,113,-2.510416666666666,-1.7247222222222223,0.0,0.0,0.0,0.0002777777777777778,246281.87804899988,248943.15802899995,Th,224,194
224,236,0.5938888888888891,0.15902777777777793,0.0,0.0,0.0,0.0,589644.6448559992,616976.4296949987,194,120,-1.1981944444444446,-2.510416666666666,0.0,0.0,0.0,0.0,237766.1679949997,246281.87804899988,Fr,221,144
221,224,1.7019444444444438,0.5938888888888891,0.005,0.0,0.0001388888888888889,0.0,552741.5221769973,589644.6448559992,144,194,-0.9983333333333333,-1.1981944444444446,0.005,0.0,0.0,0.0,225298.75817299957,237766.1679949997,Sa,232,172
232,221,1.579236111111111,1.7019444444444438,0.005,0.005,0.0001388888888888889,0.0001388888888888889,456897.1864649989,552741.5221769973,172,144,-1.07540873015873,-0.9983333333333333,0.005,0.005,0.0,0.0,204142.98339099996,225298.75817299957,Su,322,82
322,232,2.4814365079365075,1.579236111111111,0.0,0.005,0.0,0.0001388888888888889,386914.55208100023,456897.1864649989,82,172,-0.16819444444444448,-1.07540873015873,0.0,0.005,0.0,0.0,196630.28849100048,204142.98339099996,Mo,285,143
285,322,4.305347222222222,2.4814365079365075,0.0,0.0,0.0,0.0,519071.1054639989,386914.55208100023,143,82,-0.17555555555555558,-0.16819444444444448,0.0,0.0,0.0,0.0,203044.49306899993,196630.28849100048,Tu,202,133
202,285,4.13469246031746,4.305347222222222,0.0,0.0,0.0,0.0,536183.3605720018,519071.1054639989,133,143,0.2611111111111112,-0.17555555555555558,0.0,0.0,0.0,0.0,204589.58809099952,203044.49306899993,We,255,186
255,202,5.114583333333332,4.13469246031746,0.005,0.0,0.0001388888888888889,0.0,530952.1269399999,536183.3605720018,186,133,1.7547222222222225,0.2611111111111112,0.005,0.0,0.0,0.0,205987.37324000022,204589.58809099952,Th,242,224
242,255,5.664791666666666,5.114583333333332,0.0,0.005,0.0,0.0001388888888888889,546797.787019999,530952.1269399999,224,186,0.02263888888888883,1.7547222222222225,0.0,0.005,0.0,0.0,219807.3814460002,205987.37324000022,Fr,226,291
226,242,6.9202777777777795,5.664791666666666,0.01,0.0,0.0002777777777777778,0.0,549838.8256739993,546797.787019999,291,224,3.879444444444445,0.02263888888888883,0.01,0.0,0.0011111111111111111,0.0,231534.23333600032,219807.3814460002,Sa,329,167
329,226,4.425384920634922,6.9202777777777795,0.0,0.01,0.0,0.0002777777777777778,465614.1213379988,549838.8256739993,167,291,-0.36416666666666664,3.879444444444445,0.0,0.01,0.0,0.0011111111111111111,221977.36833400052,231534.23333600032,Su,370,255
370,329,2.020625,4.425384920634922,0.0,0.0,0.0,0.0,421167.54675800266,465614.1213379988,255,167,-1.387638888888889,-0.36416666666666664,0.0,0.0,0.0,0.0,209567.80860399985,221977.36833400052,Mo,302,86
302,370,2.616736111111111,2.020625,0.0,0.0,0.0,0.0,598454.6051589989,421167.54675800266,86,255,2.08125,-1.387638888888889,0.0,0.0,0.0,0.0,211199.44309,209567.80860399985,Tu,260,163
260,302,6.559855158730159,2.616736111111111,0.0,0.0,0.0,0.0,543354.6286509993,598454.6051589989,163,86,1.496666666666667,2.08125,0.0,0.0,0.0,0.0,207099.84319800008,211199.44309,We,221,127
221,260,4.432847222222223,6.559855158730159,0.0,0.0,0.0,0.0,559867.8652519996,543354.6286509993,127,163,0.5776388888888888,1.496666666666667,0.0,0.0,0.0,0.0,215376.63804000063,207099.84319800008,Th,320,185
320,221,4.473085317460318,4.432847222222223,0.0,0.0,0.0,0.0,557058.4452359983,559867.8652519996,185,127,0.9158333333333333,0.5776388888888888,0.0,0.0,0.0,0.0,217602.5230659995,215376.63804000063,Fr,409,160
409,320,4.764583333333334,4.473085317460318,0.0,0.0,0.0,0.0,554437.6934910011,557058.4452359983,160,185,0.96509126984127,0.9158333333333333,0.0,0.0,0.0,0.0,222218.51316299994,217602.5230659995,Sa,326,229
326,409,4.4464583333333305,4.764583333333334,0.0,0.0,0.0,0.0,439964.0777800004,554437.6934910011,229,160,0.3441666666666666,0.96509126984127,0.0,0.0,0.0,0.0,206206.90348699945,222218.51316299994,Su,370,156
370,326,4.31236111111111,4.4464583333333305,0.0,0.0,0.0,0.0,407378.4317010001,439964.0777800004,156,229,0.7890277777777778,0.3441666666666666,0.0,0.0,0.0,0.0,195233.36833000032,206206.90348699945,Mo,259,152
259,370,5.088958333333334,4.31236111111111,0.0,0.0,0.0,0.0,541413.9521539977,407378.4317010001,152,156,1.496111111111111,0.7890277777777778,0.0,0.0,0.0,0.0,212267.99308499944,195233.36833000032,Tu,232,142
232,259,4.841180555555556,5.088958333333334,0.005,0.0,0.0001388888888888889,0.0,559646.9488090031,541413.9521539977,142,152,0.5711984126984128,1.496111111111111,0.005,0.0,0.0,0.0,222308.13332699926,212267.99308499944,We,193,128
193,232,3.8384722222222223,4.841180555555556,0.0,0.005,0.0,0.0001388888888888889,571726.7989049979,559646.9488090031,128,142,0.06749999999999998,0.5711984126984128,0.0,0.005,0.0,0.0,226537.35325900032,222308.13332699926,Th,267,88
267,193,0.7994444444444447,3.8384722222222223,0.09500000000000004,0.0,0.004583333333333333,0.0,627080.3070899978,571726.7989049979,88,128,0.6912499999999999,0.06749999999999998,0.09500000000000004,0.0,0.06888888888888892,0.0,216814.64811700062,226537.35325900032,Fr,244,129
244,267,2.564722222222222,0.7994444444444447,0.1600000000000001,0.09500000000000004,0.010138888888888888,0.004583333333333333,563417.0704880006,627080.3070899978,129,88,2.7898611111111116,0.6912499999999999,0.1600000000000001,0.09500000000000004,0.0,0.06888888888888892,199781.82332600086,216814.64811700062,Sa,257,109
257,244,4.42829365079365,2.564722222222222,0.005,0.1600000000000001,0.0001388888888888889,0.010138888888888888,452015.0363849981,563417.0704880006,109,129,3.78125,2.7898611111111116,0.005,0.1600000000000001,0.0030555555555555557,0.0,186898.79340100088,199781.82332600086,Su,259,157
259,257,4.676527777777777,4.42829365079365,0.15500000000000008,0.005,0.008333333333333328,0.0001388888888888889,427196.29206699977,452015.0363849981,157,109,4.131527777777778,3.78125,0.15500000000000008,0.005,0.006666666666666666,0.0030555555555555557,183822.82352500004,186898.79340100088,Mo,248,107
248,259,5.288914682539684,4.676527777777777,0.01,0.15500000000000008,0.0002777777777777778,0.008333333333333328,494661.43338799884,427196.29206699977,107,157,4.241404761904763,4.131527777777778,0.01,0.15500000000000008,0.0061587301587301595,0.006666666666666666,194865.2185029999,183822.82352500004,Tu,270,162
270,248,5.223733660130719,5.288914682539684,0.20500000000000007,0.01,0.01590686274509804,0.0002777777777777778,477114.41639799747,494661.43338799884,162,107,5.159857142857143,4.241404761904763,0.20500000000000007,0.01,0.046285714285714284,0.0061587301587301595,185335.70351499954,194865.2185029999,We,374,143
374,270,5.508184523809525,5.223733660130719,1.0550000000000002,0.20500000000000007,0.3735079365079366,0.01590686274509804,398593.8967740032,477114.41639799747,143,162,4.445353174603174,5.159857142857143,1.0550000000000002,0.20500000000000007,0.6987222222222222,0.046285714285714284,167397.34851800094,185335.70351499954,Th,380,248
380,374,2.1543055555555553,5.508184523809525,2.1149999999999998,1.0550000000000002,0.7386111111111113,0.3735079365079366,393107.08680400054,398593.8967740032,248,143,2.7823611111111117,4.445353174603174,2.1149999999999998,1.0550000000000002,0.09000000000000001,0.6987222222222222,172443.79525000096,167397.34851800094,Fr,421,213
421,380,4.1089583333333355,2.1543055555555553,0.17500000000000007,2.1149999999999998,0.005587301587301587,0.7386111111111113,465075.9149870016,393107.08680400054,213,248,1.044722222222222,2.7823611111111117,0.17500000000000007,2.1149999999999998,0.0005555555555555556,0.09000000000000001,199950.04675000013,172443.79525000096,Sa,432,345
432,421,2.7493234126984127,4.1089583333333355,0.01,0.17500000000000007,0.0002777777777777778,0.005587301587301587,464306.10846599855,465075.9149870016,345,213,2.669277777777778,1.044722222222222,0.01,0.17500000000000007,0.04472222222222223,0.0005555555555555556,197845.40176600002,199950.04675000013,Su,593,276
593,432,3.7198750000000005,2.7493234126984127,0.20999999999999996,0.01,0.01153174603174603,0.0002777777777777778,447007.12007600005,464306.10846599855,276,345,1.8775,2.669277777777778,0.20999999999999996,0.01,0.0011111111111111111,0.04472222222222223,200358.67184999946,197845.40176600002,Mo,604,257
604,593,1.8207678571428574,3.7198750000000005,0.0,0.20999999999999996,0.0,0.01153174603174603,506177.33956900047,447007.12007600005,257,276,-1.5440277777777778,1.8775,0.0,0.20999999999999996,0.0,0.0011111111111111111,231700.73791199998,200358.67184999946,Tu,530,300
